ID;Sand %;Clay %;Silt %;pH;EC mS/cm;O.M. %;CACO3 %;N_NO3 ppm;P ppm;K ppm;Mg ppm;Fe ppm;Zn ppm;Mn ppm;Cu ppm;B ppm;Adequação MILHO
596;0,96667;0,06897;0,14815;0,69272;0,06962;0,22343;0,01289;0,03063;0,09871;0,03733;0,03853;0,13584;0,07868;0,06396;0,01691;0,09444;0,5
588;0,46667;0,48276;0,25926;0,22102;0,01458;0,4295;0,01675;0,09978;0,05041;0,07589;0,18823;0,24396;0,06867;0,3029;0,04125;0,21667;0,5
544;0,53333;0,31034;0,37037;0,37466;0,0636;0,44902;0,01675;0,06027;0,06739;0,07711;0,07161;0,38978;0,05436;0,23422;0,04718;0,11667;0,5
646;0,53333;0,37931;0,2963;0,38544;0,04556;0,25163;0,0232;0,19152;0,02379;0,04957;0,14091;0,19437;0,0701;0,1336;0,09258;0,16111;0,5
488;0,46667;0,48276;0,25926;0,85445;0,04629;0,53362;0,54124;0,07712;0,13485;0,1683;0,06951;0,09689;0,0372;0,08473;0,03412;0,13889;0,5
212;0,16667;0,48276;0,59259;0,89757;0,09677;0,59219;0,4317;0,06138;0,10433;0,2754;0,06575;0,02515;0,18741;0,00599;0,14273;0,02222;0,5
389;0,23333;0,68966;0,2963;0,84097;0,04064;0,18872;0,15464;0,06317;0,03429;0,24296;0,17148;0,07152;0,01431;0,02532;0,02433;0,09444;0,0
528;0,4;0,41379;0,40741;0,18059;0,03882;0,41866;0,00387;0,17143;0,08001;0,01714;0,0557;0,43407;0,0887;0,37135;0,04985;0,31111;0,5
245;0,26667;0,51724;0,44444;0,89757;0,24458;0,63557;0,39304;0,21966;0,42273;1,0;0,11662;0,01833;0,13734;0,01595;0,04955;0,4;0,5
583;0,5;0,41379;0,2963;0,84906;0,04538;0,14967;0,14175;0,14212;0,07896;0,09364;0,2054;0,03606;0,00715;0,01788;0,02344;0,10556;0,5
369;0,63333;0,17241;0,40741;0,51752;0,03627;0,21258;0,01289;0,06135;0,03072;0,06426;0,06365;0,17566;0,04721;0,15902;0,07033;0,12778;0,5
635;0,33333;0,17241;0,74074;0,16981;0,00055;0,10629;0,00387;0,02084;0,07017;0,01775;0,01256;0,32944;0,10157;0,23915;0,03294;0,21667;0,0
750;0,2;0,86207;0,14815;0,71698;0,04884;0,46855;0,08119;0,06757;0,08305;0,28703;0,42127;0,11789;0,03505;0,0805;0,03392;0,05;0,5
616;0,26667;0,58621;0,37037;0,34771;0,01731;0,39262;0,01289;0,07231;0,10988;0,22889;0,23534;0,37314;0,10014;0,12193;0,06024;0,17222;0,5
768;0,23333;0,65517;0,33333;0,69003;0,08128;0,29067;0,05541;0,06135;0,03112;0,21236;0,27994;0,19022;0,03748;0,07119;0,07119;0,02778;0,0
156;0,26667;0,41379;0,55556;0,97305;0,05595;0,42082;0,54124;0,05554;0,07261;0,1328;0,03434;0,02804;0,11874;0,01167;0,19288;0,2;0,0
514;0,23333;0,68966;0,2963;0,48787;0,06433;0,65293;0,01289;0,08733;0,07757;0,0508;0,49518;0,37123;0,09871;0,1709;0,02967;0,35556;0,5
68;0,36667;0,44828;0,40741;0,67385;0,07855;0,29935;0,04124;0,01934;0,03456;0,10649;0,05486;0,15296;0,11731;0,10143;0,06973;0,0;0,5
282;0,43333;0,31034;0,48148;0,61725;0,11901;0,19089;0,0;0,11328;0,15705;0,18421;0,06805;0,19955;0,24177;0,07772;0,18309;0,92778;0,5
110;0,0;0,55172;0,7037;0,91644;0,05085;0,55531;0,51289;0,14146;0,07334;0,40208;0,06365;0,01451;0,0701;0,0136;0,14451;0,22222;0,5
67;0,46667;0,31034;0,44444;0,45553;0,00328;0,14534;0,0;0,00548;0,1151;0,10098;0,05444;0,49719;0,10014;0,1154;0,11899;0,22778;0,5
193;0,3;0,75862;0,14815;0,67385;0,04593;0,47289;0,04897;0,19407;0,03389;0,11016;0,67881;0,13131;0,02861;0,0213;0,01276;0,03333;0,5
79;0,63333;0,27586;0,2963;0,84636;0,04228;0,17354;0,0683;0,01461;0,03158;0,06548;0,12186;0,07097;0,10157;0,04758;0,02374;0,01667;0,5
516;0,06667;0,93103;0,22222;0,50135;0,06652;0,61171;0,02577;0,08517;0,20469;0,38188;0,65054;0,37619;0,13591;0,12819;0,04659;0,41111;0,5
24;0,26667;0,55172;0,40741;0,95418;0,04848;0,2538;0,18428;0,02665;0,0041;0,13709;0,10469;0,07801;0,01288;0,04271;0,03323;0,02222;0,0
582;0,33333;0,58621;0,2963;0,84636;0,04556;0,25813;0,12242;0,09314;0,10307;0,15728;0,17253;0,0318;0,01288;0,01493;0,03353;0,14444;0,5
704;0,36667;0,51724;0,33333;0,83827;0,09823;0,50108;0,15851;0,15457;0,2892;0,46512;0,32998;0,02782;0,30329;0,01718;0,04154;0,21667;0,5
444;0,5;0,48276;0,22222;0,84636;0,06944;0,2538;0,10696;0,1403;0,02603;0,16157;0,07831;0,04948;0,02432;0,03367;0,03205;0,05556;0,5
405;0,23333;0,65517;0,33333;0,81941;0,0636;0,51627;0,15464;0,12095;0,03304;0,08629;0,03476;0,06306;0,09299;0,04282;0,03175;0,18333;0,5
40;0,1;0,65517;0,48148;0,73585;0,05212;0,30152;0,0232;0,02407;0,04486;0,11628;0,22404;0,18952;0,09442;0,082;0,05223;0,03333;0,5
