ID;Sand %;Clay %;Silt %;pH;EC mS/cm;O.M. %;CACO3 %;N_NO3 ppm;P ppm;K ppm;Mg ppm;Fe ppm;Zn ppm;Mn ppm;Cu ppm;B ppm;Adequação MILHO
1698;0,52708;0,2409;0,40904;0,31236;0,089;0,66516;0,00168;0,22432;0,10511;0,17087;0,01284;0,01247;0,15326;0,0639;0,03499;0,30259;1,0
1681;0,45811;0,41143;0,3011;0,42087;0,08029;0,37133;0,05294;0,17312;0,13139;0,17917;0,01425;0,01354;0,18884;0,0284;0,01147;0,26605;1,0
922;0,30894;0,67984;0,17339;0,21059;0,02367;0,13015;0,41403;0,15221;0,01769;0,04106;0,05047;0,08043;0,00349;0,00012;0,00113;0,03456;0,0
276;0,16834;0,75458;0,24077;0,8814;0,0571;0,30803;0,24227;0,06576;0,02299;0,19217;0,14636;0,07632;0,02146;0,03195;0,02671;0,00556;0,0
417;0,26276;0,56828;0,33888;0,85714;0,06475;0,27332;0,26418;0,09721;0,01249;0,09241;0,04753;0,04053;0,01001;0,02398;0,01395;0,06111;0,0
1653;0,59225;0,25754;0,32379;0,4571;0,68793;0,55094;0,00037;0,20342;0,10472;0,03836;0,00869;0,00965;0,1775;0,0674;0,04021;0,23582;1,0
248;0,04246;0,50618;0,63322;0,93801;0,06173;0,32972;0,54124;0,05407;0,03165;0,14749;0,06805;0,06083;0,12446;0,02789;0,33294;0,05556;0,0
384;0,16834;0,81668;0,17536;0,85714;0,07436;0,34707;0,17139;0,00141;0,01731;0,1481;0,14657;0,09852;0,07725;0,05363;0,05223;0,23889;0,5
323;0,48307;0,10254;0,60051;0,80323;0,36114;0,33839;0,2049;0,85201;0,05028;0,04774;0,02764;0,03475;0,01431;0,01911;0,01602;0,21111;0,0
204;0,38865;0,47513;0,30617;0,87332;0,05906;0,27332;0,07088;0,04201;0,01526;0,15361;0,0134;0,03933;0,0186;0,01713;0,01929;0,0;0,5
874;0,19581;0,08716;0,91521;0,55394;0,01088;0,22937;0,16965;0,06651;0,00651;0,00331;0,25265;0,32043;0,10957;0,00462;0,08577;0,13999;0,0
1111;0,82502;0,23077;0,11011;0,96385;0,01939;0,13298;0,57626;0,15781;0,00366;0,00857;0,32013;0,24493;0,0236;0,15044;0,00498;0,20424;0,0
1823;0,35116;0,43639;0,38595;0,4254;0,0813;0,49536;0,06128;0,17362;0,17045;0,0044;0,00671;0,01289;0,17509;0,07067;0,03682;0,06783;1,0
353;0,23129;0,25779;0,69863;0,93801;0,04429;0,29718;0,07088;0,18968;0,02907;0,10159;0,06051;0,05324;0,01431;0,03832;0,08071;0,08889;0,0
1375;0,446;0,45702;0,26566;0,46137;0,0884;0,44417;0,02827;0,15447;0,0325;0,35195;0,01521;0,00705;0,15756;0,07178;0,02554;0,17244;1,0
576;0,23129;0,59933;0,33888;0,8221;0,07311;0,42299;0,08376;0,14212;0,13948;0,34027;0,11307;0,03017;0,02289;0,02928;0,04065;0,14444;0,5
