;ID;Sand %;Clay %;Silt %;pH;EC mS/cm;O.M. %;CACO3 %;N_NO3 ppm;P ppm;K ppm ;Mg ppm;Fe ppm;Zn ppm;Mn ppm;Cu ppm;B ppm;Adequação MILHO;;;;
;1;42;38;20;5,162;0,274;3,783414;0;14,462366;18,60884;147;1115;91,32;0,894;27,06;1,768;0,4;Média;;;;
;2;54;26;20;6,071;0,355;1,451688;0;14,587814;32,742137;180;1055;60,04;3,66;17,58;1,684;0,41;Média;;;;
;3;28;36;36;6,921;0,675;1,767599;0,4;14,910394;19,024525;183;1215;61,24;3,06;18;1,84;0,46;Média;;;;
;4;58;20;22;7,704;0,355;0,718322;6,8;4,21147;6,276846;116;327;19,54;1,64;5,04;0,844;0,5;Média;;;;
;5;33,2;41,2;25,6;7,609;0,392;0,996625;4,39;6,111111;6,55397;228;939;25,84;0,18;7,16;1,216;0,4;Média;;;;
;6;29,2;46,8;24;6,504;0,349;0,943973;0;6,021505;14,313427;231;3110;69,25;0,274;15,54;2,122;0,42;Média;;;;
;7;37,2;34,8;28;6,466;0,975;2,358052;0;35,555556;14,451988;183;1215;108;0,318;38,28;1,634;0,46;Alta;;;;
;8;26,8;47,2;26;5,696;0,21;1,703664;0;4,784946;12,096439;270;1047;97;0,334;24,6;1,442;0,39;Média;;;;
;9;29,2;44,8;26;6,056;0,266;2,200096;0;3,512545;10,018013;210;1155;62,14;0,498;32,16;1,166;0,45;Média;;;;
;10;31,2;32,8;36;7,551;0,483;2,467117;8,71;9,032258;4,891229;159;538;22,42;0,158;4,96;0,67;0,4;Média;;;;
;11;29,6;44,8;25,6;7,502;0,445;2,737898;6,95;6,702509;5,584038;375;1085;45,4;0,3;10,26;1,294;0,42;Média;;;;
;12;43,2;26,8;30;6,627;0,774;1,711186;0;5,681004;14,174865;126;462;87,45;0,566;43,32;1,588;0,39;Média;;;;
;13;47,2;28,8;24;6,881;0,72;1,353905;0,4;4,354839;5,584038;150;1160;62,96;0,328;15,22;1,51;0,41;Média;;;;
